Programa,Cohorte,Fecha_Primer_Inscrito,Mes_Lanzamiento,Costo_Oficial_Bs,Seno_Mes,Coseno_Mes,Tipo_Programa_Curso,Tipo_Programa_Diplomado,Categoria_Administración,Categoria_Derecho,Categoria_Educación,Categoria_Investigación,Categoria_Psicología,Categoria_Salud,Categoria_Tecnología,Tamano_Cohorte
ADAPTACIONES CURRICULARES PARA LA EDUCACION ESPECIAL E INCLUSIVA,Edición Abr 2024,2023-10-05,10,2500.0,-0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,0,0,0,10
ADAPTACIONES CURRICULARES PARA LA EDUCACION ESPECIAL E INCLUSIVA,Edición Abr 2025,2024-01-11,1,2500.0,0.49999999999999994,0.8660254037844387,0,1,0,0,1,0,0,0,0,10
ADAPTACIONES CURRICULARES PARA LA EDUCACION ESPECIAL E INCLUSIVA,Edición Dic 2025,2023-10-04,10,2500.0,-0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,0,0,0,10
ADAPTACIONES CURRICULARES PARA LA EDUCACION ESPECIAL E INCLUSIVA,Edición Feb 2024,2023-10-07,10,2500.0,-0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,0,0,0,10
ADAPTACIONES CURRICULARES PARA LA EDUCACION ESPECIAL E INCLUSIVA,Edición Jul 2025,2023-11-28,11,2500.0,-0.5000000000000004,0.8660254037844384,0,1,0,0,1,0,0,0,0,10
ADAPTACIONES CURRICULARES PARA LA EDUCACION ESPECIAL E INCLUSIVA,Edición Nov 2025,2023-10-19,10,2500.0,-0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,0,0,0,10
ALINEACION PARENTAL: APLICACION PRACTICA DESDE UN ENFOQUE JURIDICO Y PSICOLOGICO,Edición Abr 2025,2024-01-24,1,150.0,0.49999999999999994,0.8660254037844387,1,0,0,1,0,0,0,0,0,7
ALINEACION PARENTAL: APLICACION PRACTICA DESDE UN ENFOQUE JURIDICO Y PSICOLOGICO,Edición Ago 2024,2023-11-25,11,150.0,-0.5000000000000004,0.8660254037844384,1,0,0,1,0,0,0,0,0,7
ALINEACION PARENTAL: APLICACION PRACTICA DESDE UN ENFOQUE JURIDICO Y PSICOLOGICO,Edición Dic 2023,2023-10-20,10,150.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,7
APLICACION PENAL DE LA NORMATIVA VIGENTE EN DELITOS DE CORRUPCION,Edición Jul 2024,2023-10-05,10,130.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,20
APLICACION PENAL DE LA NORMATIVA VIGENTE EN DELITOS DE CORRUPCION,Edición Jul 2025,2023-10-25,10,130.0,-0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,20
APLICACION PENAL DE LA NORMATIVA VIGENTE EN DELITOS DE CORRUPCION,Edición Nov 2024,2023-09-01,9,130.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
APLICACION PENAL DE LA NORMATIVA VIGENTE EN DELITOS DE CORRUPCION,Edición Sep 2023,2023-09-12,9,130.0,-1.0,-1.8369701987210297e-16,1,0,0,1,0,0,0,0,0,20
ARTICULO ACADEMICO EN 5 PASOS CLAVES,Edición Ago 2023,2024-07-07,7,100.0,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,1,0,0,0,6
ARTICULO ACADEMICO EN 5 PASOS CLAVES,Edición Ene 2025,2024-05-06,5,100.0,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,1,0,0,0,6
ARTICULO ACADEMICO EN 5 PASOS CLAVES,Edición Feb 2026,2024-06-26,6,100.0,1.2246467991473532e-16,-1.0,1,0,0,0,0,1,0,0,0,6
ARTICULO ACADEMICO EN 5 PASOS CLAVES,Edición Mar 2025,2023-10-02,10,100.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,1,0,0,0,6
ARTICULO ACADEMICO EN 5 PASOS CLAVES,Edición May 2025,2024-02-05,2,100.0,0.8660254037844386,0.5000000000000001,1,0,0,0,0,1,0,0,0,6
ARTICULO ACADEMICO EN 5 PASOS CLAVES,Edición Nov 2025,2024-07-07,7,100.0,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,1,0,0,0,6
"ATENCION, CONTROL Y TRATAMIENTO DE HEMORRAIGAS EN TRAUMA",Edición Abr 2024,2023-12-12,12,130.0,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,1,0,7
"ATENCION, CONTROL Y TRATAMIENTO DE HEMORRAIGAS EN TRAUMA",Edición Ago 2024,2023-10-16,10,130.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,1,0,7
"ATENCION, CONTROL Y TRATAMIENTO DE HEMORRAIGAS EN TRAUMA",Edición May 2024,2023-11-17,11,130.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,0,1,0,7
"ATENCION, CONTROL Y TRATAMIENTO DE HEMORRAIGAS EN TRAUMA",Edición May 2025,2025-01-11,1,130.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,1,0,6
AUDIENCIA DE MEDIDAS CAUTELARES Y SU APLICACION,Edición Abr 2024,2024-02-03,2,150.0,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,0,0,6
AUDIENCIA DE MEDIDAS CAUTELARES Y SU APLICACION,Edición May 2025,2023-12-31,12,150.0,-2.4492935982947064e-16,1.0,1,0,0,1,0,0,0,0,0,6
AUDIENCIA DE MEDIDAS CAUTELARES Y SU APLICACION,Edición Oct 2025,2024-07-11,7,150.0,-0.4999999999999997,-0.8660254037844388,1,0,0,1,0,0,0,0,0,6
AUDITORIA BASADA EN REGISTRO Y CONTROL DE SEGURIDAD,Edición Abr 2024,2024-01-30,1,150.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,1,6
AUDITORIA BASADA EN REGISTRO Y CONTROL DE SEGURIDAD,Edición Ene 2026,2023-09-24,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,1,6
AUDITORIA BASADA EN REGISTRO Y CONTROL DE SEGURIDAD,Edición Feb 2024,2024-02-10,2,150.0,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,1,6
AUDITORIA BASADA EN REGISTRO Y CONTROL DE SEGURIDAD,Edición Mar 2025,2023-09-28,9,150.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,1,6
AUDITORIA BASADA EN REGISTRO Y CONTROL DE SEGURIDAD,Edición May 2025,2023-12-19,12,150.0,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,0,1,6
AUDITORIA BASADA EN REGISTRO Y CONTROL DE SEGURIDAD,Edición Nov 2024,2023-11-18,11,150.0,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,0,0,1,6
CAMARA GESELL EN PROCESOS JUDICIALES,Edición Dic 2025,2023-11-11,11,130.0,-0.5000000000000004,0.8660254037844384,1,0,0,1,0,0,0,0,0,6
CAMARA GESELL EN PROCESOS JUDICIALES,Edición Feb 2024,2023-11-11,11,130.0,-0.5000000000000004,0.8660254037844384,1,0,0,1,0,0,0,0,0,12
"CONDUCTA SUICIDA: AUTOLESION, CUTTING, PREVENCION",Edición Dic 2023,2023-10-30,10,100.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,1,0,0,6
"CONDUCTA SUICIDA: AUTOLESION, CUTTING, PREVENCION",Edición Jul 2025,2024-07-22,7,100.0,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,1,0,0,6
"CONDUCTA SUICIDA: AUTOLESION, CUTTING, PREVENCION",Edición May 2025,2023-09-25,9,100.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,6
CORRECCION DE ESTILO PARA TEXTOS ACADEMICOS,Edición Ene 2024,2023-09-17,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,1,0,0,0,3
CORRECCION DE ESTILO PARA TEXTOS ACADEMICOS,Edición Nov 2025,2025-08-05,8,120.0,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,1,0,0,0,3
CORRECCION DE ESTILO PARA TEXTOS ACADEMICOS,Edición Sep 2024,2024-10-12,10,120.0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,1,0,0,0,3
DEPENDENCIA EMOCIONAL,Edición Jul 2024,2024-09-05,9,120.0,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,1,0,0,7
DEPENDENCIA EMOCIONAL,Edición Oct 2024,2024-01-17,1,120.0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,1,0,0,7
DEPENDENCIA EMOCIONAL,Edición Sep 2023,2023-12-16,12,120.0,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,1,0,0,7
